---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  core-label                                                                |  device_id  |  aiclk  |  first-and-last-inputs  |  total-runtime  |  active-math-cycles-single-input  |  math-utilization-over-all-inputs  |  math-utilization-last-input-recorded  |  runtime-last-input-recorded  |  num-cycles-per-tensor  |  num-tensors-per-second  |  input0-bw  |  input1-bw  |  output-bw  |  
|  4-7-ff_1_ff1.bias                                                         |  0          |  1000   |  0 -> 0                 |  5784           |  512                              |  8.85                              |  8.85                                  |  5784                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  4-8-norm_ff_1_var.lc1                                                     |  0          |  1000   |  0 -> 0                 |  1250           |  768                              |  61.44                             |  61.44                                 |  1250                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  4-9-norm_ff_1_bias_output_nop_0                                           |  0          |  1000   |  0 -> 0                 |  1317           |  128                              |  9.72                              |  9.72                                  |  1317                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  6-1-norm_ff_0_sqrt                                                        |  0          |  1000   |  0 -> 0                 |  3875           |  2608                             |  67.30                             |  67.30                                 |  3875                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  6-2-ff.bert.encoder.layer.1.attention.self.query.bias_s_brcst_m2_0_0.lc1  |  0          |  1000   |  0 -> 0                 |  666            |  192                              |  28.83                             |  28.83                                 |  666                          |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  6-3-lc.input_tensor.mha_1_as_softmax.dc.reduce_sum.1.0_splt_brcst_1       |  0          |  1000   |  0 -> 0                 |  593            |  32                               |  5.40                              |  5.40                                  |  593                          |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  6-4-mha_1_output                                                          |  0          |  1000   |  0 -> 0                 |  3721           |  3072                             |  82.56                             |  82.56                                 |  3721                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  6-5-norm_mha_1_sqrt                                                       |  0          |  1000   |  0 -> 0                 |  3878           |  2608                             |  67.25                             |  67.25                                 |  3878                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  6-7-ff1_gelu                                                              |  0          |  1000   |  0 -> 0                 |  17999          |  8704                             |  48.36                             |  48.36                                 |  17999                        |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  6-8-norm_ff_1_var_plus_eps                                                |  0          |  1000   |  0 -> 0                 |  633            |  32                               |  5.06                              |  5.06                                  |  633                          |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  7-1-norm_ff_0_recip                                                       |  0          |  1000   |  0 -> 0                 |  3989           |  2720                             |  68.19                             |  68.19                                 |  3989                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  7-2-mha_1_query                                                           |  0          |  1000   |  0 -> 0                 |  3779           |  3072                             |  81.29                             |  81.29                                 |  3779                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  7-3-mha_1_as_softmax.dc.reduce_sum.1.lc1                                  |  0          |  1000   |  0 -> 0                 |  3902           |  3072                             |  78.73                             |  78.73                                 |  3902                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  7-4-mha_1_output.bias                                                     |  0          |  1000   |  0 -> 0                 |  1738           |  128                              |  7.36                              |  7.36                                  |  1738                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  7-5-norm_mha_1_recip                                                      |  0          |  1000   |  0 -> 0                 |  3999           |  2720                             |  68.02                             |  68.02                                 |  3999                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  7-7-ff_1_ff2                                                              |  0          |  1000   |  0 -> 0                 |  14791          |  12416                            |  83.94                             |  83.94                                 |  14791                        |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  7-8-norm_ff_1_sqrt                                                        |  0          |  1000   |  0 -> 0                 |  3878           |  2608                             |  67.25                             |  67.25                                 |  3878                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  8-1-norm_ff_0_recip_s_brcst_m1_0_0.lc1                                    |  0          |  1000   |  0 -> 0                 |  597            |  192                              |  32.16                             |  32.16                                 |  597                          |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  8-2-mha_1_query.bias                                                      |  0          |  1000   |  0 -> 0                 |  3008           |  128                              |  4.26                              |  4.26                                  |  3008                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  8-3-mha_1_as_softmax.dc.reciprocal.2                                      |  0          |  1000   |  0 -> 0                 |  14896          |  10880                            |  73.04                             |  73.04                                 |  14896                        |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  8-4-add_mha_1                                                             |  0          |  1000   |  0 -> 0                 |  2054           |  128                              |  6.23                              |  6.23                                  |  2054                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  8-5-norm_mha_1_recip_s_brcst_m1_0_0.lc1                                   |  0          |  1000   |  0 -> 0                 |  584            |  192                              |  32.88                             |  32.88                                 |  584                          |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  8-7-ff_1_ff2.bias                                                         |  0          |  1000   |  0 -> 0                 |  1737           |  128                              |  7.37                              |  7.37                                  |  1737                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  8-8-norm_ff_1_recip                                                       |  0          |  1000   |  0 -> 0                 |  3987           |  2720                             |  68.22                             |  68.22                                 |  3987                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  9-1-norm_ff_0_output                                                      |  0          |  1000   |  0 -> 0                 |  1617           |  384                              |  23.75                             |  23.75                                 |  1617                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  9-2-mha_1_as                                                              |  0          |  1000   |  0 -> 0                 |  8150           |  3072                             |  37.69                             |  37.69                                 |  8150                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  9-3-mha_1_as_softmax.dc.multiply.3                                        |  0          |  1000   |  0 -> 0                 |  7477           |  1536                             |  20.54                             |  20.54                                 |  7477                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  9-4-norm_mha_1_mean.lc1                                                   |  0          |  1000   |  0 -> 0                 |  1217           |  768                              |  63.11                             |  63.11                                 |  1217                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  9-5-norm_mha_1_output                                                     |  0          |  1000   |  0 -> 0                 |  1610           |  384                              |  23.85                             |  23.85                                 |  1610                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  9-7-add_ff_1                                                              |  0          |  1000   |  0 -> 0                 |  2081           |  128                              |  6.15                              |  6.15                                  |  2081                         |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
|  9-8-norm_ff_1_recip_s_brcst_m1_0_0.lc1                                    |  0          |  1000   |  0 -> 0                 |  578            |  192                              |  33.22                             |  33.22                                 |  578                          |  null                   |  null                    |  "N/A"      |  "N/A"      |  "N/A"      |  
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
